DY
189
21
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21
Norway;82.4;18.1;12.9;66494;0.931;2.3;0.908;12.6;0.858;0.99;58548;2;5.1;40.8;60.4;5.4;82.6;0.3;3.5;0.9;39.8;1
Ireland;82.3;18.7;12.7;68371;0.926;3.3;0.892;15;0.838;0.981;55540;5;7.5;24.3;56;4.9;63.4;0.3;3.2;0.7;38.2;1
Switzerland;83.8;16.3;13.4;69394;0.947;1.8;0.883;14.9;0.841;0.968;57840;5;2.8;38.6;62.9;8.6;73.8;0.4;5.7;1.6;43.1;1
HongKongChinaSAR;84.9;16.9;12.3;62985;0.973;9.8;0.793;25.6;0.724;0.972;45961;0;2.7;0;54;7.4;100;0.3;5.2;1.3;44.8;1
Iceland;83;19.1;12.8;54682;0.946;2.8;0.9;11.7;0.841;0.969;46413;4;6.3;38.1;70.8;0.3;93.9;0;0.2;0.1;37.5;1
Germany;81.3;17;14.2;55314;0.908;2.3;0.922;17.7;0.786;0.972;45277;7;8.1;31.6;55.3;83.5;77.4;4;54;18;45.7;1
Sweden;82.8;19.5;12.5;54508;0.938;3.7;0.884;13;0.828;0.983;47709;4;5.1;47.3;61.4;10;87.7;0.6;6.2;2;41.1;1
Australia;83.4;22;12.7;48085;0.94;2.7;0.899;17.3;0.771;0.976;39287;6;11.7;36.6;60.3;25.2;86.1;1.7;16.3;4;37.9;1
Netherlands;82.3;18.5;12.4;57707;0.928;5.4;0.865;12.2;0.843;0.966;46815;5;3.8;33.8;58.3;17.1;91.9;0.9;11;3.4;43.3;1
Denmark;80.9;18.9;12.6;58662;0.903;2.9;0.894;11.4;0.853;0.983;49296;4;4.1;39.1;58.2;5.8;88;0.3;3.7;1.2;42.3;1
Finland;81.9;19.4;12.8;48511;0.924;2.2;0.907;10.6;0.835;0.99;40759;3;5.8;47;55.5;5.5;85.4;0.3;3.4;1.2;43.1;1
Singapore;83.6;16.4;11.6;88155;0.954;11;0.751;25;0.75;0.985;71387;8;3.5;23;62;5.8;100;0.2;4.4;0.7;42.2;1
UnitedKingdom;81.3;17.5;13.2;46071;0.905;2.7;0.902;17;0.769;0.97;33323;7;13.4;28.9;57.6;67.5;83.7;4;43.1;12.5;40.5;1
Belgium;81.6;19.8;12.1;52085;0.914;8.2;0.828;11.4;0.837;0.974;41948;5;4.7;43.3;48.6;11.5;98;0.6;7.4;2.2;41.9;1
NewZealand;82.3;18.8;12.8;40799;0.917;1.8;0.909;16.4;0.759;0.964;31233;9;19.3;40.8;64.8;4.8;86.6;0.3;3.1;0.8;38;1
Canada;82.4;16.2;13.4;48527;0.916;2.7;0.87;18.1;0.766;0.986;39459;10;8.4;33.2;60.8;37.4;81.5;2;24.9;6.6;41.1;1
UnitedStates;78.9;16.3;13.4;63826;0.848;2.8;0.875;27.1;0.711;0.994;50590;19;19.9;23.7;56.1;329.1;82.5;19.6;214.7;53.3;38.3;1
Austria;81.5;16.1;12.5;56197;0.912;2.9;0.84;14.1;0.821;0.964;39386;5;7.3;38.5;55.1;9;58.5;0.4;6;1.7;43.5;1
Israel;83;16.2;13;40187;0.937;5.7;0.833;23.7;0.691;0.973;29665;3;9.6;23.3;59.7;8.5;92.5;0.8;5.1;1;30.5;1
Japan;84.6;15.2;12.9;42932;0.965;4.7;0.812;16.7;0.763;0.978;30584;5;3.8;14.5;52.7;126.9;91.7;4.9;75.4;35.5;48.4;1
Liechtenstein;80.7;14.9;12.5;131032;0;0;0;0;0;0;0;0;0;12;0;0;14.4;0;0;0;0;1
Slovenia;81.3;17.6;12.7;38080;0.916;2.1;0.891;8.7;0.82;1.001;33885;7;3.8;22.3;53.4;2.1;54.8;0.1;1.3;0.4;44.5;1
KoreaRepublicof;83;16.5;12.2;43044;0.941;8.8;0.789;20.2;0.731;0.936;27734;11;1.4;16.7;52.9;51.2;81.4;2;37;7.7;43.7;1
Luxembourg;82.3;14.3;12.3;72712;0.925;6.3;0.756;19;0.806;0.976;58642;5;4.7;25;54.9;0.6;91.2;0;0.4;0.1;39.7;1
Spain;83.6;17.6;10.3;40975;0.949;16.9;0.691;19.5;0.732;0.986;32881;4;7.7;41.9;51.9;46.7;80.6;2;30.7;9.2;44.9;1
France;82.7;15.6;11.5;47173;0.927;9.5;0.74;13.5;0.804;0.987;39478;8;4.7;36.9;50.8;65.1;80.7;3.7;40.3;13.3;42.3;1
Czechia;79.4;16.8;12.7;38109;0.886;1.4;0.878;8.9;0.818;0.985;29480;3;12;20.6;52.9;10.7;73.9;0.6;6.9;2.1;43.2;1
Malta;82.5;16.1;11.3;39555;0.918;6.2;0.774;13;0.786;0.966;29368;6;12.9;14.9;46;0.4;94.7;0;0.3;0.1;42.6;1
Estonia;78.8;16;13.1;36019;0.871;2.3;0.862;14.8;0.758;1.017;27086;9;7.7;29.7;57.1;1.3;69.1;0.1;0.8;0.3;42.4;1
Italy;83.5;16.1;10.4;42776;0.947;10.6;0.709;21.8;0.716;0.968;31639;2;5.2;35.3;40.8;60.6;70.7;2.4;38.6;13.9;47.3;1
UnitedArabEmirates;78;14.3;12.1;67462;0.845;18.2;0.656;0;0;0.931;28578;3;6.5;50;52.4;9.8;86.8;0.5;8.2;0.1;32.6;1
Greece;82.2;17.9;10.6;30155;0.924;11.1;0.755;17.8;0.709;0.963;24062;3;7.2;20.7;44.2;10.5;79.4;0.4;6.7;2.3;45.6;1
Cyprus;81;15.2;12.2;38207;0.904;10.5;0.74;13.2;0.779;0.979;31881;6;4.6;17.9;57.8;1.2;66.8;0.1;0.8;0.2;37.3;1
Lithuania;75.9;16.6;13.1;35799;0.813;3.9;0.863;20.6;0.706;1.03;30987;8;10.9;21.3;56.5;2.8;67.9;0.1;1.8;0.6;45.1;1
Poland;78.7;16.3;12.5;31623;0.865;4.9;0.826;13.5;0.752;1.007;24827;2;10.5;27.9;48.6;37.9;60;1.9;25.3;6.9;41.7;1
Andorra;81.9;13.3;10.5;56000;0;10;0.648;0;0;0;0;0;0;46.4;0;0.1;88;0;0;0;0;1
Latvia;75.3;16.2;13;30282;0.805;2.5;0.861;19.6;0.694;1.036;25758;19;16.2;30;55.7;1.9;68.2;0.1;1.2;0.4;43.9;1
Portugal;82.1;16.5;9.3;33967;0.921;15;0.653;16.9;0.731;0.988;28937;8;8.4;38.7;54.2;10.2;65.8;0.4;6.6;2.3;46.2;1
Slovakia;77.5;14.5;12.7;32113;0.841;1.6;0.813;11.7;0.77;0.992;24618;5;25.7;20;52.2;5.5;53.7;0.3;3.7;0.9;41.2;1
Hungary;76.9;15.2;12;31329;0.838;3.1;0.796;14.5;0.743;0.981;23170;12;24;12.6;48.5;9.7;71.6;0.5;6.4;1.9;43.3;1
SaudiArabia;75.1;16.1;10.2;47495;0.794;18;0.647;0;0;0.896;16512;17;7.3;19.9;22.1;34.3;84.1;3;24.6;1.2;31.8;1
Bahrain;77.3;16.3;9.5;42522;0.833;22.7;0.594;0;0;0.922;19059;14;13.4;18.8;45;1.6;89.4;0.1;1.3;0;32.5;1
Chile;80.2;16.4;10.6;23261;0.868;10.4;0.726;31.1;0.567;0.963;16398;13;41.1;22.7;51.8;19;87.6;1.2;13;2.3;35.3;1
Croatia;78.5;15.2;11.4;28070;0.861;4.7;0.767;14.7;0.727;0.99;23775;8;8.7;20.5;45.4;4.1;57.2;0.2;2.7;0.9;44.3;1
Qatar;80.2;12;9.7;92418;0.874;11.8;0.581;0;0;1.03;45338;9;9.9;9.8;56.8;2.8;99.2;0.1;2.4;0;32.3;1
Argentina;76.7;17.7;10.9;21190;0.797;6;0.804;25.2;0.606;0.993;14872;39;62.8;39.9;50.7;44.8;92;3.7;28.7;5;31.5;1
BruneiDarussalam;75.9;14.3;9.1;63965;0.794;0;0;0;0;0.981;54386;31;10.3;9.1;57.8;0.4;77.9;0;0.3;0;32.3;1
Montenegro;76.9;15;11.6;21399;0.844;7.8;0.74;16.9;0.673;0.966;17518;6;9.3;28.4;46.5;0.6;67.2;0;0.4;0.1;38.8;1
Romania;76.1;14.3;11.1;29497;0.808;5.3;0.724;22.7;0.664;0.991;24433;19;36.2;19.6;45.3;19.4;54.1;0.9;12.7;3.6;43.2;1
Palau;73.9;15.8;12.5;19317;0;1.9;0.839;0;0;0;0;0;0;13.8;0;0;80.5;0;0;0;0;1
Kazakhstan;73.6;15.6;11.9;22857;0.761;3.2;0.804;10.3;0.736;0.98;16791;10;29.8;22.1;62.7;18.6;57.5;1.9;11.8;1.4;30.7;1
RussianFederation;72.6;15;12.2;26157;0.751;4.2;0.789;18.8;0.683;1.007;19694;17;20.7;16.5;54.8;145.9;74.6;9.4;97.4;22;39.6;1
Belarus;74.8;15.4;12.3;18546;0.806;3.7;0.807;10.8;0.704;1.007;14911;2;14.5;34.9;57.7;9.5;79;0.6;6.4;1.4;40.3;1
Turkey;77.7;16.6;8.1;27701;0.808;16.5;0.611;24.1;0.645;0.924;17854;17;26.6;17.4;34;83.4;75.6;6.7;55.9;7.3;31.5;1
Uruguay;77.9;16.8;8.9;20064;0.821;6.5;0.715;23.4;0.614;1.016;15445;17;58.7;20.9;55.6;3.5;95.4;0.2;2.2;0.5;35.8;1
Bulgaria;75.1;14.4;11.4;23325;0.795;6.1;0.732;21.8;0.644;0.995;18453;10;39.9;25.8;49.2;7;75.3;0.3;4.5;1.5;44.6;1
Panama;78.5;12.9;10.2;29558;0.792;11.4;0.62;36.9;0.542;1.019;24050;52;81.8;21.1;53.4;4.2;68.1;0.4;2.8;0.4;29.7;1
Bahamas;73.9;12.9;11.4;33747;0.773;6.3;0.693;0;0;0;27560;70;30;21.8;68.1;0.4;83.1;0;0.3;0;32.3;1
Barbados;79.2;15.4;10.6;14936;0.831;5.5;0.739;33.6;0.502;1.008;12656;27;33.6;29.4;61.7;0.3;31.2;0;0.2;0;40.5;1
Oman;77.9;14.2;9.7;25944;0.831;11.9;0.633;20.1;0.671;0.936;7959;19;13.1;9.9;31;5;85.4;0.5;3.7;0.1;30.6;1
